,movie_id,averagerating,numvotes
0,tt10356526,8.3,31
1,tt10384606,8.9,559
2,tt1042974,6.4,20
3,tt1043726,4.2,50352
4,tt1060240,6.5,21
5,tt1069246,6.2,326
6,tt1094666,7.0,1613
7,tt1130982,6.4,571
8,tt1156528,7.2,265
9,tt1161457,4.2,148
10,tt1171222,5.1,8296
11,tt1174693,5.8,2381
12,tt1181840,7.0,5494
13,tt1193623,8.0,5
14,tt1199588,5.5,74
15,tt1204784,5.8,6
16,tt1210166,7.6,326657
17,tt1212419,6.5,87288
18,tt1220911,5.0,941
19,tt1229238,7.4,428142
20,tt1232829,7.2,477771
21,tt1235548,6.6,2725
22,tt1243974,5.4,54646
23,tt1250861,6.2,416
24,tt1258812,4.0,21
25,tt1261945,4.4,69199
26,tt1266037,7.0,1413
27,tt1270291,5.8,5728
28,tt1270761,5.6,44490
29,tt1272886,6.1,6688
30,tt1274297,5.4,381
31,tt1283887,5.4,2527
32,tt1285219,3.4,387
33,tt1287879,7.7,76
34,tt1290476,7.2,6
35,tt1294141,4.5,113
36,tt1320239,6.2,18431
37,tt1322312,6.3,54421
38,tt1323962,5.1,101
39,tt1325014,6.7,4240
40,tt1325019,7.2,29
41,tt1326743,8.4,21
42,tt1327602,7.8,8
43,tt1328913,5.2,738
44,tt1331329,3.6,1621
45,tt1332570,2.1,17
46,tt1343110,2.5,345
47,tt1343740,4.6,495
48,tt1346690,7.7,7
49,tt1352393,7.7,1293
50,tt1358596,7.7,6
51,tt1360829,5.0,223
52,tt1368858,5.4,4302
53,tt1374988,6.1,163
54,tt1376213,5.4,5257
55,tt1378667,7.5,31
56,tt1379736,5.7,15
57,tt1381418,5.4,6220
58,tt1400515,3.5,1701
59,tt1403981,7.1,129443
60,tt1403990,8.5,31
61,tt1404830,5.3,1768
62,tt1409015,8.2,40
63,tt1417086,7.5,197
64,tt1418760,6.4,1502
65,tt1420547,6.1,16
66,tt1422020,7.0,10025
67,tt1426379,3.8,9
68,tt1426385,4.9,19
69,tt1428464,6.4,227
70,tt1438493,6.3,86
71,tt1443518,5.5,297
72,tt1447483,6.9,28
73,tt1450750,8.6,27
74,tt1456110,6.5,60
75,tt1460739,7.3,354
76,tt1460743,6.9,6990
77,tt1465505,6.4,5273
78,tt1465519,4.7,1497
79,tt1467290,6.3,173
80,tt1468387,6.5,2306
81,tt1474456,3.2,103
82,tt1478277,2.6,102
83,tt1479320,5.6,143
84,tt1480670,5.2,303
85,tt1486670,4.7,3713
86,tt1488109,8.2,14
87,tt1492849,5.2,534
88,tt1494611,7.3,102
89,tt1499658,6.9,398695
90,tt1508689,4.7,16
91,tt1510989,3.9,83
92,tt1512098,5.9,33
93,tt1512102,5.9,67
94,tt1512893,3.4,212
95,tt1515069,8.3,15
96,tt1515208,6.3,1447
97,tt1516577,5.3,147
98,tt1516595,4.4,64
99,tt1517225,7.4,2189
100,tt1517605,8.7,23
101,tt1521782,6.8,19
102,tt1527710,7.7,29
103,tt1527723,7.3,9
104,tt1527821,6.1,160
105,tt1528274,7.8,11
106,tt1534084,4.5,875
107,tt1535109,7.8,387402
108,tt1535491,7.0,3218
109,tt1535611,6.8,20
110,tt1537385,8.0,53
111,tt1538545,5.8,821
112,tt1538833,7.2,395
113,tt1538988,7.1,224
114,tt1539042,5.5,382
